epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.379,0.82681,0.80421,1.02767,0.83898,0.3561,0.51021,0.34088,1.44821,15.0031,1.64998,0.0700698,0.00332558,0.00332558
2,401.985,0.72171,0.56745,0.97092,0.71504,0.66532,0.70379,0.48717,1.01202,1.29193,1.24376,0.0399683,0.00655749,0.00655749
3,592.278,0.66364,0.49234,0.93823,0.92583,0.79102,0.88426,0.68047,0.84822,0.85773,1.16106,0.00976539,0.00968787,0.00968787
4,777.398,0.59536,0.44599,0.9158,0.89363,0.82797,0.90694,0.70671,0.80955,0.64705,1.08494,0.00954308,0.00954308,0.00954308
5,962.522,0.56409,0.41802,0.90488,0.79155,0.82031,0.85569,0.67367,0.81384,1.17281,1.08161,0.00939077,0.00939077,0.00939077
6,1145.29,0.54176,0.38894,0.89333,0.89646,0.90549,0.94294,0.76508,0.72814,0.55243,1.02044,0.00923846,0.00923846,0.00923846
7,1333.63,0.53159,0.3774,0.89251,0.95195,0.8889,0.95257,0.78436,0.70407,0.49799,1.01855,0.00908615,0.00908615,0.00908615
8,1520.91,0.52779,0.37414,0.88684,0.94274,0.90691,0.95496,0.77338,0.72158,0.53975,1.01945,0.00893385,0.00893385,0.00893385
9,1704.06,0.49652,0.34755,0.87766,0.94307,0.89903,0.95765,0.78565,0.69047,0.53938,1.00037,0.00878154,0.00878154,0.00878154
10,1891.78,0.49877,0.35133,0.88011,0.93765,0.91144,0.96229,0.78536,0.70462,0.46991,1.01201,0.00862923,0.00862923,0.00862923
11,2086.28,0.48277,0.33747,0.8725,0.92359,0.9293,0.9589,0.77673,0.70906,0.46646,1.01301,0.00847692,0.00847692,0.00847692
12,2269.28,0.47409,0.32376,0.87409,0.9565,0.92945,0.97224,0.79914,0.66765,0.46164,0.99608,0.00832462,0.00832462,0.00832462
13,2461.29,0.44851,0.32019,0.86622,0.95122,0.91205,0.96739,0.79847,0.67866,0.44401,0.99716,0.00817231,0.00817231,0.00817231
14,2649.73,0.45078,0.30609,0.86643,0.94977,0.905,0.96807,0.80682,0.63111,0.42562,0.96999,0.00802,0.00802,0.00802
15,2836.17,0.4432,0.30479,0.86461,0.91718,0.94271,0.96398,0.80128,0.64813,0.50497,0.97645,0.00786769,0.00786769,0.00786769
16,3023.17,0.43779,0.31099,0.86552,0.97098,0.92284,0.97345,0.81795,0.63134,0.41111,0.9687,0.00771538,0.00771538,0.00771538
17,3211.3,0.44259,0.30313,0.86306,0.96614,0.93385,0.97506,0.82154,0.62889,0.39963,0.97,0.00756308,0.00756308,0.00756308
18,3408.25,0.41546,0.28752,0.85852,0.97465,0.93218,0.97007,0.8072,0.64533,0.41775,0.98964,0.00741077,0.00741077,0.00741077
19,3594.71,0.41224,0.28657,0.85955,0.94889,0.91207,0.96414,0.81743,0.61081,0.41468,0.95957,0.00725846,0.00725846,0.00725846
20,3781.89,0.42028,0.28779,0.86114,0.95783,0.94534,0.98088,0.83459,0.59862,0.3937,0.951,0.00710615,0.00710615,0.00710615
21,3981.64,0.40022,0.27533,0.85708,0.95871,0.94755,0.98087,0.83406,0.6019,0.38349,0.95669,0.00695385,0.00695385,0.00695385
22,4174.68,0.38841,0.26372,0.85208,0.95821,0.94473,0.98064,0.83397,0.5777,0.36647,0.94562,0.00680154,0.00680154,0.00680154
